date,open,high,low,close,volume,smawindow,emawindow,sma100,ema100,sma200,ema200,vwap,rsi,macd,macd_signal,macd_hist,bbands_upper,bbands_middle,bbands_lower,wma,cci,aroon_up,aroon_down,obv,stoch_slowk,stoch_slowd,stochf_fastk,stochf_fastd,stochrsi_fastk,stochrsi_fastd
2020-01-21 09:55:00,77.845,77.859,77.749,77.788,336348.0,77.4608,77.511,77.4771,77.523,77.4348,77.5066,77.5789,59.6083,0.0822,0.074,0.0082,77.795,77.5226,77.2503,77.5042,301.9276,95.3125,81.25,78956812.0,57.0913,50.5695,46.2121,57.0913,0.0,39.5751
2020-01-21 09:56:00,77.786,77.801,77.688,77.728,246292.0,77.4633,77.5144,77.4802,77.5271,77.4364,77.5088,77.5815,57.2031,0.0744,0.0741,0.0003,77.8036,77.5281,77.2526,77.5084,237.553,94.5312,80.4688,78710520.0,51.1025,53.3211,23.3918,51.1025,0.0,33.3333
2020-01-21 09:57:00,77.73,77.784,77.647,77.755,464940.0,77.4659,77.5181,77.4834,77.5316,77.4383,77.5112,77.5859,57.979,0.0696,0.0732,-0.0036,77.8135,77.5339,77.2544,77.5129,218.8851,93.75,79.6875,79175460.0,40.1824,49.4588,50.9434,40.1824,15.9696,5.3232
2020-01-21 09:58:00,77.757,77.82,77.715,77.772,242576.0,77.4686,77.5221,77.4868,77.5363,77.4403,77.5138,77.5887,58.4612,0.0664,0.0718,-0.0055,77.8238,77.5403,77.2569,77.5177,240.2023,92.9688,78.9062,79418036.0,44.4325,45.2392,58.9623,44.4325,25.8695,13.9464
2020-01-21 09:59:00,77.772,77.806,77.512,77.703,289276.0,77.4708,77.5249,77.4895,77.5396,77.4419,77.5157,77.5903,55.8173,0.0576,0.069,-0.0114,77.8287,77.5459,77.2632,77.5213,159.1503,92.1875,78.125,79128760.0,54.983,46.5326,55.0432,54.983,0.0,13.9464
2020-01-21 10:00:00,77.716,77.816,77.675,77.788,277108.0,77.4737,77.529,77.4933,77.5446,77.4438,77.5184,77.5932,58.1863,0.0568,0.0665,-0.0097,77.8387,77.5528,77.2669,77.5262,215.9051,91.4062,77.3438,79405868.0,67.872,55.7625,89.6104,67.872,85.6377,37.1691
2020-01-21 10:01:00,77.796,77.923,77.771,77.883,714304.0,77.4775,77.5344,77.4979,77.5513,77.4459,77.5221,77.6043,60.5882,0.0632,0.0659,-0.0027,77.8556,77.5613,77.2669,77.5326,274.7443,100.0,76.5625,80120172.0,78.3071,67.054,90.2676,78.3071,100.0,61.8792
2020-01-21 10:02:00,77.888,77.913,77.678,77.874,251740.0,77.4813,77.5397,77.5022,77.5576,77.4485,77.5256,77.6075,60.2547,0.0667,0.066,0.0007,77.8702,77.5698,77.2693,77.5387,236.544,99.2188,75.7812,79868432.0,89.3186,78.4992,88.0779,89.3186,92.3959,92.6779
2020-01-21 10:03:00,77.883,77.898,77.804,77.827,246632.0,77.4848,77.5442,77.5063,77.563,77.4509,77.5286,77.6108,58.5436,0.065,0.0658,-0.0009,77.8802,77.5775,77.2748,77.5441,239.4894,98.4375,75.0,79621800.0,84.9959,84.2072,76.6423,84.9959,53.569,81.9883
2020-01-21 10:04:00,77.83,77.867,77.78,77.843,237212.0,77.4885,77.5488,77.5107,77.5685,77.4536,77.5317,77.6138,58.9472,0.0641,0.0655,-0.0014,77.8915,77.5848,77.2782,77.5496,220.7701,97.6562,74.2188,79859012.0,77.4874,83.934,67.7419,77.4874,20.854,55.6063
2020-01-21 10:05:00,77.85,77.894,77.804,77.843,176716.0,77.4922,77.5534,77.5153,77.574,77.4563,77.5348,77.6161,58.9472,0.0627,0.0649,-0.0022,77.9019,77.5923,77.2828,77.5551,221.5802,96.875,73.4375,79859012.0,70.5771,77.6868,67.3469,70.5771,18.3579,30.927
2020-01-21 10:06:00,77.847,77.864,77.746,77.799,215688.0,77.4956,77.5572,77.5193,77.5784,77.4587,77.5374,77.6183,57.359,0.0574,0.0634,-0.006,77.9088,77.599,77.2893,77.5599,187.0933,96.0938,72.6562,79643324.0,62.1927,70.0857,51.4894,62.1927,0.0,13.0707
2020-01-21 10:07:00,77.789,77.816,77.71,77.75,377808.0,77.4985,77.5602,77.5228,77.5818,77.4607,77.5395,77.6212,55.6607,0.0487,0.0605,-0.0118,77.9128,77.6047,77.2967,77.5638,155.2221,95.3125,71.875,79265516.0,46.7043,59.8247,21.2766,46.7043,0.0,6.1193
2020-01-21 10:08:00,77.752,77.801,77.693,77.762,220172.0,77.5014,77.5633,77.5263,77.5854,77.4629,77.5417,77.6227,55.9853,0.0423,0.0568,-0.0146,77.9176,77.6102,77.3028,77.5679,146.6151,94.5312,71.0938,79485688.0,35.6981,48.1984,34.3284,35.6981,10.4697,3.4899
2020-01-21 10:09:00,77.765,77.805,77.614,77.665,471904.0,77.5032,77.5649,77.529,77.587,77.4645,77.543,77.6245,52.8076,0.029,0.0513,-0.0223,77.9179,77.6143,77.3107,77.5704,110.6296,93.75,70.3125,79013784.0,24.6064,35.6696,18.2143,24.6064,0.0,3.4899
2020-01-21 10:10:00,77.679,77.696,77.592,77.652,240332.0,77.5049,77.5662,77.5316,77.5882,77.4658,77.5441,77.6247,52.4023,0.0173,0.0445,-0.0272,77.9183,77.6177,77.3171,77.5727,81.5531,92.9688,69.5312,78773452.0,24.8672,28.3906,22.0588,24.8672,0.0,3.4899
2020-01-21 10:11:00,77.652,77.713,77.622,77.677,190124.0,77.5068,77.5679,77.5343,77.59,77.4673,77.5454,77.6252,53.1063,0.0099,0.0376,-0.0277,77.9193,77.6215,77.3237,77.5754,92.8439,92.1875,68.75,78963576.0,26.0732,25.1822,37.9464,26.0732,23.8272,7.9424
